FONDBOLAG	FONDNUMMER	FONDNAMN	VALUTA	FONDAVGIFT	BRUTTO AVG	TKA	KATEGORI	EXTERID	FOND_I_FOND	RESULTATBEROENDE	SLOW	SPREAD	MILJÖETISK	FÖRLÄNGD	STARTDATUM	AVSLUTSDATUM	FONDSTATUS
Aktie-Ansvar AB	344739	Aktie-Ansvar Sverige	SEK	0,59	1,42	1,55	Sverige	SE0000735789	N	N	N	N	J	0	2000-07-05		1
Aktieinvest Fonder AB	290072	Aktiespararna Topp Sverige	SEK	0,20	0,31	0,32	Sverige index	SE0000924649	N	N	N	N		0	2000-07-05		1
Alfakraft Fonder AB	205302	Alfa Aktiv	SEK	0,89	2,30		Global	SE0006852232	N	N	N	N		0	2015-06-30		1
Alfred Berg Fonder AB	186478	Alfred Berg Bear	SEK	0,40	0,97	1,19	Sverige	SE0006426086	N	N	N	N		0	2015-08-25		1
Alfred Berg Fonder AB	222307	Alfred Berg Bull	SEK	0,40	1,00	1,25	Sverige	SE0006426219	N	N	N	N		0	2015-08-25		1
Alfred Berg Fonder AB	320176	Alfred Berg Fastighetsfond Norden	SEK	0,63	1,77	2,04	Övriga branscher	SE0004296515	N	N	N	N		0	2011-11-25		1
Alfred Berg Fonder AB	657106	Alfred Berg Hållbar Tillväxt Sverige	SEK	0,51	1,35	1,50	Sverige	SE0007704804	N	N	N	N	J	0	2016-04-26		1
Alfred Berg Fonder AB	120303	Alfred Berg Kort Kreditfond	SEK	0,28	0,70	0,70	Övriga utländska	SE0001713678	N	N	N	N		0	2014-10-14		1
Alfred Berg Fonder AB	554691	Alfred Berg Obligationsfond Plus	SEK	0,22	0,50	0,51	Sverige lång	SE0000709313	N	J	N	N		0	2007-10-29		1
Alfred Berg Fonder AB	361733	Alfred Berg Penningmarknadsfond	SEK	0,18	0,35	0,35	Sverige kort	SE0000709370	N	N	N	N		0	2000-07-05		1
Alfred Berg Fonder AB	397562	Alfred Berg Pension Balanserad	SEK	0,78	0,90	1,20	Svenska och utländska aktier samt svenska räntor	504400-7705	N	N	N	N		0	2000-07-05	2004-04-29	5
Alfred Berg Fonder AB	433391	Alfred Berg Pension Försiktig	SEK	0,61	0,68	0,81	Svenska och utländska aktier samt svenska räntor	504400-7762	N	N	N	N		0	2000-07-05	2004-04-29	5
Alfred Berg Fonder AB	671982	Alfred Berg Ryssland	SEK	0,78	2,54	2,93	Ryssland	SE0000709297	N	N	N	N		0	2004-04-27		1
Alfred Berg Fonder AB	325902	Alfred Berg Ränteallokering Plus	SEK	0,29	0,75	0,87	Övriga utländska	SE0000709362	N	J	N	N		0	2000-07-05		1
Alfred Berg Fonder AB	741694	Alfred Berg Småbolagsfond	SEK	0,68	1,76	2,14	Sverige småbolag	SE0002898155	N	N	N	N		0	2009-06-15	2013-11-07	5
Alfred Berg Fonder AB	647487	Alfred Berg Sverige Plus	SEK	0,64	1,78	2,03	Sverige	SE0000709271	N	N	N	N		0	2012-06-21		1
Alfred Berg Kapitalforvaltning AS	254839	ABIF Europa	NOK	1,33	1,64	1,93	Europa	NO0010089451	N	N	J	N		0	2001-10-16	2010-01-12	5
Alfred Berg Kapitalforvaltning AS	975680	ABN AMRO Obligasjon Utland	NOK	0,70	0,80	0,81	Övriga utländska	NO0010089493	N	N	N	N		0	2001-10-16	2006-02-08	5
Alfred Berg Kapitalforvaltning AS	147348	Alfred Berg Aktiv	NOK	0,55	1,50	1,60	Övriga länder	NO0010089444	N	N	J	N		0	2001-10-16		1
Alfred Berg Kapitalforvaltning AS	785550	Alfred Berg Aktiv II	NOK	0,61	1,50	1,55	Övriga länder	NO0010105497	N	N	J	N		0	2004-01-21	2009-12-10	5
Alfred Berg Kapitalforvaltning AS	821389	Alfred Berg GAMBAK	NOK	0,64	1,80	2,24	Övriga länder	NO0010105489	N	J	J	N		0	2004-01-21		1
Alfred Berg Kapitalforvaltning AS	290668	Alfred Berg Global Quant	NOK	0,58	1,60	1,69	Global	NO0010089501	N	N	J	N		0	2001-10-16		1
Alfred Berg Kapitalforvaltning AS	219006	Alfred Berg Nordic Best Selection	NOK	0,55	1,50	1,69	Norden	NO0010089527	N	N	J	N		0	2001-10-16		1
Alfred Berg Kapitalforvaltning AS	183178	Alfred Berg Norge	NOK	0,46	1,20	1,30	Övriga länder	NO0010089402	N	N	J	N		0	2001-10-16		1
Alfred Berg Kapitalforvaltning AS	373183	Alfred Berg Norge Etisk	NOK	0,65	1,70	1,70	Övriga länder	NO0010138373	N	N	J	N		0	2005-01-25	2014-05-07	5
Alfred Berg Kapitalforvaltning AS	111518	Alfred Berg Obligasjon	NOK	0,25	0,60	0,60	Övriga utländska	NO0010089410	N	N	J	N		0	2001-10-16		1
Alfred Berg Kapitalforvaltning AS	169839	Industrifinans Aksje Euro	SEK	1,36	1,68		Europa	965713522	N	N	J	N		0	2000-07-05	2005-01-03	5
Alfred Berg Kapitalforvaltning AS	205666	Industrifinans Aksje Global	SEK	1,36	1,68		Global	971103221	N	N	J	N		0	2000-07-05	2005-01-03	5
Alfred Berg Kapitalforvaltning AS	134007	Industrifinans Aksje Norden	SEK	1,28	1,57		Norden	979464061	N	N	N	N		0	2000-07-05	2005-01-03	5
Alfred Berg Kapitalforvaltning AS	998179	Industrifinans Aksje Norge	SEK	1,01	1,22		Övriga länder	957801412	N	N	N	N		0	2000-07-05	2005-01-03	5
Alfred Berg Kapitalforvaltning AS	962340	Industrifinans Aktiv	SEK	1,26	1,55		Övriga länder	965713700	N	N	N	N		0	2000-07-05	2005-01-03	5
Alfred Berg Kapitalforvaltning AS	926519	Industrifinans Obligasjon	SEK	0,48	0,50		Övriga utländska	966491078	N	N	N	N		0	2000-07-05	2007-06-25	5
Alfred Berg Kapitalforvaltning AS	890681	Industrifinans Obligasjon Utland	SEK	0,70	0,81		Övriga utländska	971103213	N	N	J	N		0	2000-07-05	2005-01-03	5
Allianz Global Investors GmbH	825398	Allianz Brazil Equity	EUR	0,89	2,30		Övriga länder	LU0511871054	N	N	N	N		0	2013-04-12	2015-12-03	5
Allianz Global Investors GmbH	753731	Allianz China Equity	USD	0,89	2,29		Kina	LU0348825331	N	N	N	N		0	2013-04-12		1
Allianz Global Investors GmbH	250878	Allianz Emerging Asia Equity	USD	0,89	2,27		Asien och Fjärran östern	LU0348788117	N	N	N	N		0	2014-09-24		1
Allianz Global Investors GmbH	717900	Allianz Euro High Yield Bond	EUR	0,42	1,40		Övriga utländska	LU0482909818	N	N	N	N		0	2013-04-12		1
Allianz Global Investors GmbH	682070	Allianz Europe Equity Growth	EUR	0,75	1,85		Europa	LU0256839274	N	N	N	N		0	2013-04-12		1
Allianz Global Investors GmbH	634675	Allianz Europe Equity Growth Select	EUR	0,73	1,80		Europa	LU0920839346	N	N	N	N		0	2014-11-07		1
Allianz Global Investors GmbH	538751	Allianz Europe Small Cap Equity	EUR	0,83	2,09		Europa	LU0293315296	N	N	N	N		0	2013-04-15		1
Allianz Global Investors GmbH	789560	Allianz GEM Equity High Divedend	EUR	0,89	2,29		Nya marknader	LU0293313325	N	N	N	N		0	2013-04-12		1
Allianz Global Investors GmbH	215046	Allianz German Equity	EUR	0,75	1,85		Övriga länder	LU0840617350	N	N	N	N		0	2014-09-24		1
Allianz Global Investors GmbH	502922	Allianz Global Metals and Mining	EUR	0,73	1,82		Övriga branscher	LU0589944643	N	N	N	N		0	2013-04-15		1
Allianz Global Investors GmbH	179218	Allianz Global Small Cap Equity	USD	0,83	2,09		Global	LU0963586101	N	N	N	N		0	2014-09-24		1
Allianz Global Investors GmbH	431262	Allianz Little Dragons	EUR	0,84	2,13		Asien och Fjärran östern	LU0396102641	N	N	N	N		0	2013-04-15		1
Allianz Global Investors GmbH	395434	Allianz Thailand Equity	EUR	0,89	2,30		Övriga länder	LU0348798009	N	N	N	N		0	2013-04-15		1
Allianz Global Investors GmbH	359604	Allianz US Equity Fund	USD	0,75	1,85		Nordamerika och USA	LU0256863902	N	N	N	N		0	2013-04-16		1
Allianz Global Investors GmbH	467092	Allianz US High Yield	USD	0,42	1,40		Övriga utländska	LU0516397667	N	N	N	N		0	2013-04-15		1
Allianz Global Investors GmbH	323774	Allianz US High Yield EUR	EUR		1,40		Övriga utländska	LU0774943673	N	N	N	N		0	2013-04-16	2013-05-24	5
Allianz Global Investors GmbH	283044	Allianz US Small Cap Equity AT USD	USD	0,83	2,10		Nordamerika och USA småbolag	LU1061710254	N	N	N	N		0	2015-04-24		1
Allra Asset Management S.A.	322008	Allra Strategi Försiktig	SEK	0,37	1,53	1,56	Utländska aktier och räntor	LU1209008116	N	N	N	N	J	0	2011-08-31		1
Allra Asset Management S.A.	286179	Allra Strategi Lagom	SEK	0,49	2,29	2,30	Global	LU1209020087	N	N	N	N	J	0	2011-08-31		1
Allra Asset Management S.A.	250340	Allra Strategi Modig	SEK	0,49	2,29	2,31	Global	LU1209020830	N	N	N	N	J	0	2011-08-31		1
Allra Asset Management S.A.	895227	Allra Strategi Ränta	SEK	0,37	1,54	1,65	Utländska aktier och räntor	LU0910945848	N	N	N	N	J	0	2013-09-03		1
Alpha Management Company S.A	889790	Ålandsbanken Brig 6, Class A	SEK	0,80	2,00		Utländska aktier och räntor	LU0744541607	J	N	J	N		1	2012-06-11	2012-10-18	5
Alterum Fondkommission AB	488643	FMG Mir SICAV US Quality Growth Fund	USD	1,75	2,20		Nordamerika och USA	LU0093576618	N	N	J	N		0	2001-01-15	2002-04-11	5
AMF Fonder AB	823096	AMF Aktiefond Asien Stilla Havet	SEK	0,21	0,63	0,99	Asien och Fjärran östern	SE0002572313	N	N	N	N	J	1	2008-07-08		1
AMF Fonder AB	538462	AMF Aktiefond Europa	SEK	0,19	0,44	1,01	Europa	SE0000739153	N	N	N	N	J	0	2000-07-05		1
AMF Fonder AB	908277	AMF Aktiefond Global	SEK	0,19	0,44	0,83	Global	SE0000862278	N	N	N	N	J	0	2001-11-21		1
AMF Fonder AB	229682	AMF Aktiefond Mix	SEK	0,19	0,44	0,76	Global	SE0004324416	N	N	N	N	J	0	2012-01-10		1
AMF Fonder AB	520692	AMF Aktiefond Nordamerika	SEK	0,19	0,44	0,75	Nordamerika och USA	SE0002042283	N	N	N	N	J	0	2007-07-02		1
AMF Fonder AB	269357	AMF Aktiefond Småbolag	SEK	0,21	0,61	0,64	Sverige småbolag	SE0001185000	N	N	N	N	J	0	2004-03-26		1
AMF Fonder AB	681783	AMF Aktiefond Sverige	SEK	0,18	0,42	0,48	Sverige	SE0000739195	N	N	N	N	J	0	2000-07-05		1
AMF Fonder AB	645952	AMF Aktiefond Världen	SEK	0,18	0,42	0,62	Svenska och utländska aktier	SE0000739161	N	N	N	N	J	0	2000-07-05		1
AMF Fonder AB	610121	AMF Balansfond	SEK	0,18	0,42	0,53	Svenska och utländska aktier samt svenska räntor	SE0000739179	N	N	N	N	J	0	2000-07-05		1
AMF Fonder AB	305185	AMF Räntefond kort	SEK	0,10	0,10	0,10	Sverige kort	SE0001184961	N	N	N	N		0	2004-03-26		1
AMF Fonder AB	574293	AMF Räntefond Lång	SEK	0,10	0,10	0,12	Sverige lång	SE0000739187	N	N	N	N		0	2000-07-05		1
AMF Fonder AB	265512	AMF Räntefond Mix	SEK	0,12	0,30	0,30	Sverige lång	SE0004324424	N	N	N	N		0	2012-01-10		1
Amundi Luxembourg S.A. 	133231	Amundi Funds - Aqua Global	EUR	0,66	1,90	2,09	Övriga branscher	LU0272932475	N	N	J	N		0	2008-01-09	2014-02-25	5
Amundi Luxembourg S.A. 	269290	Amundi Funds - Emerging Market	USD	0,73	2,15	2,24	Nya marknader	LU0119095825	N	N	J	N		0	2006-11-29	2014-02-25	5
Amundi Luxembourg S.A. 	339069	Amundi Funds - Global Bond	USD	0,40	1,15	1,16	Övriga utländska	LU0119133188	N	N	J	N		0	2009-05-19	2014-02-25	5
Amundi Luxembourg S.A. 	815365	Amundi Funds - US Innovative Companies	USD	0,60	1,70	1,82	Nordamerika och USA	LU0119157286	N	N	J	N		0	2001-04-19	2014-02-25	5
Amundi Luxembourg S.A. 	374892	Amundi Funds - Volatility Euro Equities	EUR	0,50	1,35	1,43	Euroland	LU0272941971	N	N	J	N		0	2009-05-19	2014-02-25	5
Amundi Luxembourg S.A. 	303230	Amundi Funds Absolute Volatility World	USD	0,54	1,60	1,66	Utländska aktier och räntor	LU0319687124	N	J	J	N		0	2009-05-19		1
Amundi Luxembourg S.A. 	169060	Amundi Funds Equity ASEAN	USD	0,76	2,39	2,48	Asien och Fjärran östern	LU0297165101	N	J	J	N		0	2008-01-09		1
Amundi Luxembourg S.A. 	166173	Amundi Funds Equity Asia ex Japan	USD	0,76	2,31	2,38	Asien och Fjärran östern	LU0119085271	N	J	J	N		0	2001-04-19		1
